iter	Passed	Remaining
0	135	135592
1	136	68310
2	138	45864
3	139	34621
4	139	27854
5	140	23341
6	141	20093
7	142	17643
8	143	15753
9	144	14265
10	144	13032
11	145	11992
12	146	11107
13	147	10353
14	147	9717
15	148	9158
16	149	8670
17	150	8229
18	151	7827
19	152	7469
20	153	7143
21	154	6847
22	154	6581
23	155	6340
24	156	6114
25	157	5908
26	158	5715
27	159	5528
28	159	5354
29	160	5200
30	161	5063
31	162	4923
32	163	4790
33	164	4669
34	165	4552
35	165	4441
36	166	4340
37	167	4249
38	168	4159
39	169	4071
40	170	3987
41	171	3905
42	172	3832
43	173	3759
44	173	3690
45	175	3633
46	176	3571
47	177	3511
48	177	3453
49	179	3404
50	180	3350
51	180	3296
52	181	3249
53	182	3200
54	183	3154
55	184	3113
56	185	3074
57	186	3036
58	187	2996
59	188	2955
60	189	2915
61	190	2880
62	191	2844
63	192	2809
64	193	2777
65	193	2743
66	194	2709
67	195	2677
68	196	2647
69	196	2616
70	197	2588
71	198	2560
72	199	2536
73	200	2508
74	201	2482
75	202	2457
76	203	2433
77	203	2409
78	204	2386
79	205	2365
80	206	2342
81	207	2321
82	207	2295
83	208	2275
84	209	2256
85	210	2236
86	211	2219
87	212	2199
88	213	2181
89	214	2164
90	214	2147
91	215	2130
92	216	2113
93	217	2097
94	218	2081
95	219	2065
96	220	2049
97	221	2034
98	221	2018
99	222	2004
100	223	1990
101	224	1975
102	225	1960
103	225	1946
104	226	1933
105	227	1919
106	228	1905
107	229	1893
108	230	1880
109	230	1867
110	231	1855
111	232	1843
112	233	1832
113	234	1820
114	235	1810
115	236	1800
116	236	1788
117	237	1777
118	238	1766
119	239	1755
120	240	1745
121	240	1733
122	241	1725
123	242	1715
124	243	1705
125	244	1696
126	245	1686
127	246	1676
128	247	1667
129	247	1659
130	248	1649
131	249	1639
132	250	1630
133	251	1622
134	251	1613
135	252	1604
136	253	1597
137	254	1589
138	255	1581
139	256	1572
140	256	1565
141	257	1556
142	258	1549
143	259	1542
144	260	1535
145	261	1528
146	262	1521
147	263	1515
148	264	1510
149	265	1505
150	266	1498
151	267	1491
152	268	1485
153	269	1479
154	270	1473
155	271	1467
156	272	1461
157	272	1454
158	273	1448
159	274	1442
160	275	1437
161	276	1431
162	277	1426
163	278	1420
164	279	1414
165	280	1408
166	281	1404
167	282	1400
168	283	1395
169	284	1389
170	285	1383
171	286	1378
172	287	1373
173	288	1369
174	289	1364
175	290	1358
176	290	1352
177	291	1346
178	292	1341
179	293	1337
180	295	1335
181	295	1330
182	296	1324
183	297	1319
184	298	1313
185	299	1308
186	299	1304
187	300	1299
188	301	1294
189	302	1289
190	303	1284
191	303	1279
192	304	1274
193	305	1270
194	306	1267
195	307	1263
196	308	1258
197	309	1253
198	310	1248
199	310	1243
200	311	1239
201	312	1235
202	313	1231
203	314	1227
204	315	1222
205	315	1217
206	316	1213
207	317	1209
208	318	1205
209	319	1201
210	320	1198
211	321	1194
212	321	1189
213	322	1185
214	323	1181
215	324	1177
216	325	1174
217	326	1170
218	327	1166
219	327	1162
220	328	1157
221	329	1153
222	330	1150
223	331	1147
224	332	1143
225	332	1140
226	333	1136
227	334	1131
228	335	1128
229	336	1125
230	337	1124
231	338	1121
232	339	1117
233	340	1113
234	340	1109
235	341	1106
236	342	1103
237	343	1100
238	344	1097
239	345	1093
240	346	1089
241	346	1085
242	347	1082
243	348	1079
244	349	1076
245	350	1073
246	351	1070
247	351	1066
248	352	1063
249	353	1061
250	354	1058
251	356	1057
252	357	1055
253	358	1052
254	359	1050
255	360	1048
256	362	1047
257	363	1044
258	364	1041
259	364	1038
260	365	1036
261	366	1033
262	368	1031
263	369	1029
264	370	1026
265	370	1022
266	371	1020
267	372	1018
268	374	1017
269	375	1014
270	376	1011
271	376	1008
272	377	1005
273	378	1003
274	379	1001
275	380	999
276	381	996
277	382	993
278	383	990
279	384	987
280	385	985
281	386	983
282	387	980
283	387	977
284	388	974
285	389	971
286	390	969
287	390	966
288	391	964
289	392	961
290	393	959
291	394	956
292	395	953
293	395	950
294	396	948
295	397	946
296	398	943
297	399	941
298	400	938
299	401	935
300	401	933
301	402	930
302	403	928
303	404	925
304	405	923
305	406	920
306	406	918
307	407	915
308	408	913
309	409	911
310	410	909
311	411	906
312	411	904
313	412	901
314	413	899
315	414	896
316	415	894
317	416	892
318	417	890
319	417	888
320	418	885
321	419	883
322	420	881
323	421	879
324	422	877
325	423	875
326	424	872
327	424	870
328	425	868
329	426	865
330	427	863
331	428	861
332	429	859
333	429	857
334	430	855
335	431	852
336	432	850
337	433	848
338	434	846
339	435	844
340	435	842
341	436	840
342	437	838
343	438	835
344	439	834
345	440	832
346	441	830
347	441	827
348	442	825
349	443	823
350	443	820
351	444	818
352	445	816
353	446	815
354	447	813
355	448	811
356	449	809
357	450	807
358	451	805
359	452	803
360	453	802
361	454	800
362	454	797
363	455	795
364	455	793
365	456	791
366	457	789
367	458	787
368	459	785
369	460	783
370	460	781
371	461	779
372	462	777
373	463	775
374	464	773
375	465	771
376	465	769
377	466	767
378	467	765
379	467	763
380	468	760
381	469	758
382	469	757
383	470	755
384	471	753
385	472	751
386	473	749
387	473	747
388	474	744
389	474	742
390	475	741
391	477	740
392	478	738
393	478	736
394	479	734
395	480	732
396	480	730
397	481	728
398	482	726
399	483	725
400	484	723
401	485	721
402	485	719
403	486	717
404	486	715
405	487	713
406	488	712
407	489	710
408	490	709
409	491	707
410	492	705
411	493	704
412	494	702
413	495	700
414	495	699
415	496	697
416	497	696
417	498	694
418	499	692
419	500	691
420	501	689
421	502	687
422	502	685
423	503	684
424	504	682
425	505	680
426	505	678
427	506	677
428	507	676
429	508	674
430	509	672
431	510	671
432	511	669
433	512	667
434	513	666
435	514	665
436	515	663
437	515	661
438	516	660
439	517	659
440	518	657
441	519	656
442	520	655
443	521	653
444	522	651
445	523	649
446	524	648
447	525	647
448	526	646
449	527	644
450	528	643
451	529	641
452	530	640
453	532	639
454	533	639
455	534	637
456	535	636
457	536	635
458	538	634
459	539	633
460	540	632
461	541	630
462	542	628
463	543	627
464	544	626
465	545	625
466	546	623
467	547	621
468	547	620
469	548	618
470	550	618
471	551	616
472	552	615
473	552	613
474	553	612
475	554	610
476	556	610
477	557	608
478	558	607
479	559	605
480	560	604
481	561	603
482	562	602
483	563	600
484	564	599
485	565	597
486	565	596
487	566	594
488	568	593
489	569	592
490	569	590
491	570	589
492	571	587
493	572	586
494	573	585
495	575	584
496	576	583
497	577	581
498	578	580
499	580	580
500	581	579
501	582	578
502	583	576
503	585	576
504	588	577
505	590	576
506	592	575
507	594	575
508	595	574
509	597	573
510	599	573
511	600	572
512	602	571
513	603	570
514	604	569
515	606	568
516	607	567
517	608	566
518	610	566
519	612	565
520	613	564
521	614	562
522	616	562
523	618	561
524	619	560
525	620	559
526	621	558
527	623	557
528	624	555
529	624	554
530	626	552
531	627	551
532	628	550
533	629	549
534	630	548
535	631	546
536	633	545
537	634	544
538	635	543
539	636	541
540	637	540
541	638	539
542	640	538
543	641	537
544	642	536
545	643	535
546	644	533
547	645	532
548	647	531
549	648	530
550	648	528
551	650	527
552	651	526
553	652	525
554	653	523
555	654	522
556	655	521
557	656	520
558	658	519
559	659	517
560	660	516
561	661	515
562	662	514
563	663	513
564	664	511
565	665	510
566	666	509
567	668	508
568	669	507
569	671	506
570	673	505
571	674	504
572	675	503
573	676	502
574	677	500
575	678	499
576	679	498
577	680	496
578	681	495
579	682	494
580	683	492
581	684	491
582	685	490
583	686	489
584	688	488
585	689	487
586	691	486
587	692	485
588	694	484
589	695	483
590	696	482
591	697	480
592	698	479
593	699	478
594	700	476
595	701	475
596	702	474
597	703	473
598	704	471
599	706	470
600	706	469
601	708	468
602	709	467
603	710	465
604	711	464
605	713	463
606	714	462
607	715	461
608	716	460
609	718	459
610	719	458
611	720	456
612	721	455
613	723	454
614	725	454
615	727	453
616	728	452
617	730	451
618	731	450
619	732	448
620	733	447
621	734	446
622	735	444
623	736	443
624	736	442
625	737	440
626	739	439
627	740	438
628	741	437
629	742	435
630	742	434
631	743	433
632	744	431
633	745	430
634	746	429
635	747	428
636	748	426
637	749	425
638	751	424
639	752	423
640	754	422
641	755	421
642	756	420
643	758	419
644	759	417
645	760	416
646	761	415
647	762	414
648	764	413
649	765	412
650	767	411
651	769	410
652	771	409
653	772	408
654	774	407
655	775	406
656	776	405
657	777	404
658	778	402
659	779	401
660	780	400
661	781	399
662	782	397
663	784	396
664	785	395
665	785	394
666	786	392
667	787	391
668	788	390
669	789	388
670	790	387
671	791	386
672	792	384
673	793	383
674	793	382
675	794	380
676	795	379
677	797	378
678	798	377
679	799	376
680	799	374
681	800	373
682	802	372
683	803	370
684	803	369
685	804	368
686	806	367
687	807	366
688	808	364
689	809	363
690	811	362
691	812	361
692	813	360
693	814	359
694	815	357
695	816	356
696	817	355
697	818	354
698	820	353
699	821	352
700	822	350
701	823	349
702	824	348
703	825	347
704	826	345
705	827	344
706	828	343
707	829	341
708	830	340
709	831	339
710	832	338
711	833	337
712	834	336
713	836	334
714	837	333
715	838	332
716	839	331
717	840	330
718	841	328
719	842	327
720	843	326
721	844	325
722	844	323
723	845	322
724	846	321
725	847	320
726	849	318
727	850	317
728	851	316
729	852	315
730	853	313
731	854	312
732	854	311
733	855	310
734	856	308
735	857	307
736	858	306
737	859	304
738	860	303
739	861	302
740	862	301
741	864	300
742	864	299
743	865	297
744	866	296
745	867	295
746	868	294
747	869	292
748	869	291
749	870	290
750	871	288
751	872	287
752	873	286
753	874	285
754	875	284
755	876	283
756	877	281
757	878	280
758	879	279
759	880	278
760	881	276
761	882	275
762	882	274
763	884	273
764	885	271
765	885	270
766	886	269
767	887	268
768	888	266
769	889	265
770	890	264
771	891	263
772	892	261
773	894	261
774	898	260
775	899	259
776	901	258
777	903	257
778	904	256
779	906	255
780	908	254
781	909	253
782	910	252
783	912	251
784	913	250
785	913	248
786	914	247
787	916	246
788	918	245
789	919	244
790	920	243
791	921	242
792	923	240
793	924	239
794	925	238
795	926	237
796	927	236
797	928	234
798	929	233
799	930	232
800	931	231
801	932	230
802	933	228
803	934	227
804	935	226
805	936	225
806	937	224
807	939	223
808	940	221
809	940	220
810	941	219
811	942	218
812	943	217
813	944	215
814	945	214
815	946	213
816	947	212
817	947	210
818	948	209
819	949	208
820	950	207
821	951	206
822	953	205
823	954	203
824	956	202
825	957	201
826	959	200
827	960	199
828	962	198
829	963	197
830	964	196
831	966	195
832	967	193
833	968	192
834	969	191
835	971	190
836	972	189
837	974	188
838	975	187
839	976	185
840	976	184
